matrix_label,classifier_id,classifier_name,n_harmonized_genes,n_genes_present,missing_genes,n_source_rows_total,n_source_rows_with_harmonized_gene_symbol,n_unique_harmonized_genes,coverage_pct_of_harmonized,coverage_grade,dataset_accession,platform,planned_role,story_scope,usable_for_full_benchmark,usable_for_subtype_only_validation,expression_scale_guess,analysis_set
GSE41998_GPL571,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,37,AYTL2;C16ORF61;C20ORF46;C9ORF30;CDCA7;GPR126;GPR180;KNTC2;MS4A7;ORC6;PECI;QSCN6L1;RTN4RL1;RUNDC1;ZNF533,70,55,51,72.5,limited,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,42,AYTL2;C16ORF61;C20ORF46;C9ORF30;GPR126;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,82.4,usable_with_minor_missingness,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,42,AYTL2;C16ORF61;C20ORF46;C9ORF30;GPR126;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,82.4,usable_with_minor_missingness,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,0,ACTB;AURKA;BAG1;BCL2;BIRC5;CCNB1;CD68;CTSV;ERBB2;ESR1;GAPDH;GRB7;GSTM1;GUSB;MKI67;MMP11;MYBL2;PGR;RPLP0;SCUBE2;TFRC,21,21,21,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,21,21,CTSV,21,21,21,100,excellent,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,PAM50,PAM50 intrinsic subtype classifier,50,0,ACTR3B;ANLN;BAG1;BCL2;BIRC5;BLVRA;CCNB1;CCNE1;CDC20;CDC6;CDCA1;CDH3;CENPF;CEP55;CXXC5;EGFR;ERBB2;ESR1;EXO1;FGFR4;FOXA1;FOXC1;GPR160;GRB7;KIF2C;KNTC2;KRT14;KRT17;KRT5;MAPT;MDM2;MELK;MIA;MKI67;MLPH;MMP11;MYBL2;MYC;NAT1;ORC6;PGR;PHGDH;PTTG1;RRM2;SFRP1;SLC39A6;TMEM45B;TYMS;UBE2C;UBE2T,50,50,50,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,PAM50,PAM50 intrinsic subtype classifier,50,50,ORC6,50,50,50,100,excellent,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,PAM50,PAM50 intrinsic subtype classifier,50,47,CDCA1;KNTC2;ORC6;UBE2C,50,50,50,94,usable_with_minor_missingness,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,PAM50,PAM50 intrinsic subtype classifier,50,43,ANLN;CDCA1;CXXC5;GPR160;KNTC2;ORC6;TMEM45B;UBE2T,50,50,50,86,usable_with_minor_missingness,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,PAM50,PAM50 intrinsic subtype classifier,50,43,ANLN;CDCA1;CXXC5;GPR160;KNTC2;ORC6;TMEM45B;UBE2T,50,50,50,86,usable_with_minor_missingness,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,PAM50,PAM50 intrinsic subtype classifier,50,43,ANLN;CDCA1;CXXC5;GPR160;KNTC2;ORC6;TMEM45B;UBE2T,50,50,50,86,usable_with_minor_missingness,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,PAM50,PAM50 intrinsic subtype classifier,50,48,CDCA1;KNTC2;ORC6,50,50,50,96,excellent,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
,HESS_PCR_30,Hess 30-gene pharmacogenomic pCR predictor,,,,,,,,not_computable_v1,,,,,,,,
,HATZIS_PCR_PREDICTOR,Hatzis taxane-anthracycline genomic response/survival predictor,,,,,,,,not_computable_v1,,,,,,,,
,HER2DX,HER2DX genomic test,,,,,,,,not_computable_v1,,,,,,,,
,TNBCTYPE,TNBCtype expression subtype classifier,,,,,,,,not_computable_v1,,,,,,,,
